id	obligation	manuscript_labels	depends_on	formal_status	audit_focus
D00	target and graded equivalence	def:rootring;def:ihs;def:invertible		PROVED_FINAL_TARGET_AND_PARAMETER	Independent actual quotient/root target; minimal algebra generation by arbitrary surjections; actual derived Ext canonical module and all integer graded shifts in CanonicalParameter.
A01	carry normal form and abstract quotient equivalence	lem:nf	D00	PROVED_NORMAL_FORM	DegreeNormalForm: exact relation lattice and unique carry representative; full rational-degree image description pending
A02	root existence and uniqueness	prop:root	A01	PROVED	RootArithmetic: actual root exists iff a divides k and gcd(a,lcm p)=1; uniqueness and denominator multiple in L
B01	homogeneous monomial basis	lem:pieces	A01	PROVED_COMPONENT_BASES_HILBERT	AmbientBasis/AmbientPieceBasis/HilbertPieces/RootHilbert: actual monic quotient equivalence, quotient and component bases, finite dimensions and Hilbert coefficients; finite-free regrouping is now proved in B02
B02	finite free basis and complement involution	prop:free	A02;B01	PROVED_FINITE_FREE_RECIPROCITY	RootPowerAction/RootFiniteFree/CanonicalFiniteFree: actual polynomial subalgebra, algebraic independence, finite homogeneous basis; RootHilbertSeries/RootHilbertRational: actual Hilbert series equals box rational function in Laurent series and satisfies reciprocity
H01	Hilbert identities	cor:numerical	B02	PROVED_NUMERICAL_IDENTITIES	RootBoxParameters constructs an actual finite bijection; RootBoxCardinality proves card=N*u^(n-2) and free rank; RootMultiplicityFormula derives h/product(w)=mu^(n-2), alongside h=a+sum(w) and primitive weights, directly from Target
C01	normality of isolated hypersurfaces	lem:isolatednormal;lem:normal	D00	BYPASSED_GENERAL_NORMALITY_NOT_REQUIRED	Finite type, noetherian and Krull dimension proved; final classification uses actual monic bases, explicit injection/surjection and Eisenstein instead of a general isolated-hypersurface normality theorem. General normality not claimed.
C02	finite diagonal invariants	lem:group	A02;B01	PROVED_FIXED_RING_NEEDED_FOR_CLASSIFICATION	Actual character action on quotient, finite separation, R=T^G and both coordinate directions proved. Exact order of the whole group is not needed and is not claimed.
C03	minimal monomial generators and division	lem:generators;lem:division	B01;C01;C02	PROVED_GENERATION_DIVISION_BYPASSED	Actual monomial cotangent basis and positive-degree induction prove generation. Higher converse uses support counting and finite fibers, without a general division lemma.
P01	root pole formula	lem:rootpole	B02;H01	PROVED_ALGEBRAIC_POLE_NUMERATOR	PeriodicPowerSeries separates finite initial terms and linear-periodic tails; RootHilbertPoleNumerator constructs the actual numerator for (1-X^N)(1-X)^2 and proves its root-of-unity values from finite Fourier; no analytic convergence assumed
P02	coordinate pole formula	lem:coordinatepole	D00;C01	PROVED_ACTUAL_DIVISOR_PROFILE	RootPoleProfile and RootVertexProfile prove every e>=2 actual signature divisor sum from zero, one, or two divisible weights; common periods and nonzero denominators are derived internally; no geometric orbit classification premise
P03	arithmetic signature recovery	lem:recovermultiset;prop:arithsignature;cor:recover	P01;P02	PROVED_RECOVERY_NEEDED_FOR_CLASSIFICATION	Actual divisor-profile and coordinateMultiplicity signature recovery are proved; final actual-target/candidate equivalence supplies the complete invariant. A separate literal integer-solution-count formulation is not claimed.
S01	seven ternary supports	lem:seven	D00	PROVED_SEVEN_SUPPORTS_AND_POSITIVE_LINK	IsolatedAxisSupport and ThreeAxisPatterns reduce arbitrary actual isolated polynomials to seven supports; TernaryPlaneArithmetic proves coordinate-plane restrictions nonzero without normality; BranchedAxisSupport produces a positive link or an alternative I-V support; invertible comparison polynomial isolatedness remains in S02
S02	comparison polynomial and branched exclusion	lem:fourterm;prop:branched	S01;P03	PROVED_TARGET_FIVE_WEIGHT_REDUCTION	BranchedOneExclusion and BranchedTwoExclusion derive numerical pure vertices from actual mass/defect constraints; NumericAxisWeights changes the branched graph; TargetFiveWeights proves every actual Target has I-V degree relations without generic coefficient or geometric orbit premises; polynomial coordinate change is not claimed
S03	primitive mutation	prop:mutation	S02;P03	PROVED_NUMERICAL_PRIMITIVE_MUTATION	TargetPrimitiveWeights proves every actual Target has a primitive Cox table; I/II exceptions, exponent parity, admissible bounds and permutations are derived from mass/defect; TargetTernaryCandidate yields ArithmeticTernary and finite enumeration membership without classification assumptions; actual polynomial coordinate transformation is not claimed
M01	Cox integer identities	lem:coxidentities	A01	PROVED	CoxIdentities: all 135 identities; CoxDegrees: genuine torsion-retaining group equalities
M02	localized monomial map	lem:coxlocal	M01;C01;C02	BYPASSED_BY_DIRECT_REALIZATION	Direct monic bases and leading exponent injection prove I-IV realization; V uses Fermat induction, Eisenstein and dimension drop. A separate general Laurent fraction-lattice theorem is not claimed.
M03	principal realization	prop:principalrealization	M02;B02;H01	PROVED_ALL_FIVE_ACTUAL_REALIZATIONS	TernaryRealization constructs each actual isolated graded Target with the exact candidate polynomial, weights, degree and signature; type V uses Fermat induction, Eisenstein and dimension drop without unproved domain or generation premises
T03	automatic invertibility arbitrary R	thm:main n=3	S03;M03;C03	PROVED_ACTUAL_EQUATION_OUTPUT_CLASSIFICATION	TernaryOutputClassification proves exact sorted EquationData realization and unique actual graded output for every Target 3 a
K03	weight key is complete invariant	cor:weightkey;lem:gradedlift	T03;P03;M03	PROVED_ACTUAL_CANDIDATE_KEY_IFF	CandidateKeySemantics proves executable candidateKey equality iff actual graded Cox quotient equivalence at fixed positive a; arbitrary actual targets are realized first; no normal-form premise
Q01	local quotient nonregularity	prop:pairwise;app:local	C02;D00	PROVED_TARGET_PAIRWISE_COPRIMALITY	Actual completed root local ring is the actual power-series stabilizer fixed ring at a nonzero zeroth coordinate; indecomposable invariant monomials give original local cotangent lower bounds and off-origin nonregularity; actual isolated graded presentations give the opposite cotangent bound, proving tail pairwise coprimality for actual Target in at least four variables; coordinate transport of actual degree groups, quotient rings, root subalgebras and graded presentations proves all pairs for actual Target; the higher converse is now proved in Q02/T04
Q02	higher support counting	lem:highergenerators;lem:pureone	Q01;C03	PROVED_HIGHER_SCALE_ONE	RootMonomialPairSupport and PairSupportCounting force pure-power generation; actual finite-quotient fibers and FourCoordinatePowerFiber force u=1 for at least four coordinates, without a division premise
T04	higher semantic iff	thm:main n>=4	Q02;A02	PROVED_FINAL_CLASSIFICATION	HigherOutputClassification gives exact actual output classification; CanonicalParameter supplies the Ext interpretation.
E03	finite n=3 enumerator completeness arithmetic	lem:exponentbound;prop:algorithm3	M01	PROVED_ARITHMETIC_BEFORE_DEDUP	ExponentBound.exponent_bound; Candidates.enumerateTernaryCandidates_iff for all positive a
E04	integer higher recurrence completeness arithmetic	eq:recursivebound;eq:lastcoordinate	A01	PROVED_ARITHMETIC_AND_NODUP	HigherArithmetic proves all-input arithmetic iff; HigherEnumerationNodup proves no duplicate output row using distinct recursive prefixes
F01	enumerate sound	thm:main;thm:finite	M03;T04;E03;E04	PROVED_FINAL	Final.enumerate_sound proves EquationRealizes for all legitimate inputs and actual rows, including actual roots, isolation, minimum generators, primitive sorted weights and canonical Ext parameter.
F02	enumerate complete	thm:main;thm:finite	T03;T04;E03;E04	PROVED_FINAL	Final.enumerate_complete gives a unique actual graded-isomorphic output position for every independently defined Target.
F03	pairwise nonisomorphism	cor:weightkey;thm:finite	K03;T04;E03;E04	PROVED_FINAL	Final.enumerate_pairwise_nonisomorphic forbids actual graded complex-algebra equivalences at distinct output positions.
I01	serialization and explicit result certificate	sec:lean	F01;F02;F03	PROVED_CODEC_AND_EXACT_LIST_CERTIFICATES	Final.cli_payload_correct plus 10 explicit full EquationData equalities; exact whole-list checker correctness and mutation tests passed.
